Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (%),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height (mm),Bond_height (mm)
80.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-65.03,39.80
80.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-58.92,27.72
81.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-56.48,20.47
81.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-51.59,12.02
81.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-40.59,1.15
81.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-32.03,-2.48
81.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-27.14,-12.14
81.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-16.14,-14.55
81.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-5.15,-15.76
81.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,2.19,-24.22
81.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,11.96,-31.46
81.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,13.19,-30.26
81.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,30.31,21.74,-33.88
81.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,29.07,-36.30
81.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.08,38.85,-49.58
81.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,44.96,-41.13
81.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,46.18,-47.17
81.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,48.63,-43.54
81.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,49.85,-44.75
81.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,49.85,-49.58
81.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,30.72,49.85,-53.20
81.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,47.41,-43.54
81.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.34,51.07,-48.37
81.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,48.63,-48.37
81.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.84,51.07,-47.17
81.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,52.30,-43.54
81.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,60.85,-42.33
82.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,51.07,-43.54
82.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,52.30,-38.71
82.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,43.74,-36.30
82.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,32.74,-32.67
82.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,20.68,27.85,-25.42
82.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,20.52,-25.42
82.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,11.96,-24.22
82.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,0.97,-14.55
82.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-13.70,-2.48
82.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-13.70,3.56
82.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-24.70,9.60
82.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-29.59,20.47
82.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.99,-33.25,31.34
82.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-49.14,37.38
82.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-55.25,50.67
82.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-61.36,62.75
82.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-72.36,62.75
82.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-68.70,69.99
82.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-73.59,76.03
82.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-73.59,73.62
82.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-71.14,71.20
82.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-63.81,62.75
82.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-67.47,51.88
82.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-63.81,48.25
82.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.17,-63.81,31.34
83.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,23.07,-60.14,27.72
83.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.18,-51.59,18.06
83.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-46.70,13.23
83.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-38.14,8.39
83.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.51,-28.37,-3.68
83.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.02,-18.59,-12.14
83.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-14.92,-18.18
83.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-3.92,-25.42
83.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,4.63,-24.22
83.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.08,14.41,-30.26
83.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,22.96,-32.67
83.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,27.85,-31.46
83.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,30.30,-37.50
83.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,38.85,-38.71
83.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,32.41,44.96,-44.75
83.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,41.30,-47.17
83.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,44.96,-45.96
83.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,51.07,-45.96
83.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,47.41,-48.37
83.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,51.07,-52.00
83.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,44.96,-27.84
83.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,53.52,-48.37
83.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,52.30,-48.37
83.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,51.07,-47.17
83.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,48.63,-41.13
84.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.18,49.85,-39.92
84.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,44.96,-38.71
84.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,46.18,-36.30
84.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.90,41.30,-35.09
84.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,35.19,-32.67
84.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,26.63,-27.84
84.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,21.74,-16.97
84.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,11.96,-18.18
84.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.51,5.85,-8.52
84.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-5.15,-1.27
84.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-22.26,13.23
84.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-27.14,14.43
84.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-33.25,37.38
84.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.17,-43.03,32.55
84.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.44,-49.14,49.46
84.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-57.70,53.08
84.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-61.36,57.92
84.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-67.47,68.79
84.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,21.71,-68.70,72.41
84.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-72.36,79.66
84.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.01,-73.59,74.82
84.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-76.03,67.58
84.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-72.36,71.20
84.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-68.70,50.67
84.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-65.03,36.17
85.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-60.14,31.34
85.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-55.25,19.26
85.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-51.59,13.23
85.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-45.48,13.23
85.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,23.70,-35.70,1.15
85.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-29.59,-10.93
85.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-21.03,-16.97
85.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,22.61,-14.92,-21.80
85.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-5.15,-25.42
85.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.99,9.52,-25.42
85.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,13.19,-27.84
85.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,24.19,-30.26
85.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,33.96,-38.71
85.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.01,33.96,-36.30
85.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,38.85,-39.92
85.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,42.52,-42.33
85.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,44.96,-45.96
85.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,48.63,-44.75
85.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,48.63,-44.75
85.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,44.96,-48.37
85.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,51.07,-47.17
85.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,51.07,-47.17
85.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,53.52,-48.37
85.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,58.41,-47.17
85.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,55.96,-45.96
86.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,57.18,-44.75
86.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,49.85,-42.33
86.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,43.74,-39.92
86.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,41.30,-32.67
86.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,41.30,-35.09
86.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,31.52,-29.05
86.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,27.85,-25.42
86.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,13.19,-18.18
86.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,9.52,-20.59
86.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-0.26,-4.89
86.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-11.26,2.36
86.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-18.59,9.60
86.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-28.37,20.47
86.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.90,-36.92,26.51
86.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-23.48,34.97
86.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-52.81,48.25
86.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-60.14,57.92
86.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-65.03,74.82
86.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-72.36,69.99
86.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-74.81,74.82
86.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.99,-76.03,74.82
86.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-74.81,74.82
86.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-72.36,62.75
86.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.67,-68.70,54.29
86.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.84,-68.70,44.63
87.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.34,-66.25,34.97
87.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-61.36,28.93
87.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-51.59,21.68
87.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.17,-46.70,14.43
87.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-44.25,9.60
87.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,23.86,-29.59,-2.48
87.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-21.03,-9.72
87.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-14.92,-13.35
87.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.81,-7.59,-23.01
87.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,3.41,-24.22
87.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,13.19,-29.05
87.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,15.63,-32.67
87.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.44,24.19,-32.67
87.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,32.74,-33.88
87.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,36.41,-36.30
87.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,40.07,-38.71
87.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,47.41,-36.30
87.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,46.18,-45.96
87.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,47.41,-47.17
87.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,48.63,-44.75
87.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,49.85,-48.37
87.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,51.07,-45.96
87.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,30.31,51.07,-45.96
87.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.34,55.96,-31.46
87.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,51.07,-48.37
88.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,52.30,-39.92
88.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,52.30,-42.33
88.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,47.41,-42.33
88.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,46.18,-38.71
88.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,42.52,-33.88
88.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,36.41,-30.26
88.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.08,31.52,-30.26
88.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,22.96,-23.01
88.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-13.70,-16.97
88.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,4.63,-12.14
88.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-8.81,-6.10
88.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.08,-13.70,7.19
88.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-22.26,14.43
88.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-30.81,22.89
88.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-34.48,30.14
88.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-44.25,42.21
88.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-56.48,53.08
88.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-62.59,60.33
88.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-62.59,66.37
88.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-65.03,71.20
88.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-74.81,77.24
88.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-73.59,77.24
88.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-74.81,68.79
88.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-72.36,60.33
88.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-69.92,53.08
89.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.51,-65.03,44.63
89.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.26,-67.47,36.17
89.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-58.92,22.89
89.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-50.36,18.06
89.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-43.03,10.81
89.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-39.37,2.36
89.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-27.14,-3.68
89.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-19.81,-13.35
89.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-11.26,-23.01
89.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-3.92,-27.84
89.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.84,8.30,-24.22
89.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,28.55,14.41,-24.22
89.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.01,26.63,-27.84
89.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,30.30,-27.84
89.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,35.19,-33.88
89.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,36.41,-38.71
89.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,41.30,-43.54
89.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.34,48.63,-44.75
89.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,48.63,-48.37
89.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,49.85,-38.71
89.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,46.18,-49.58
89.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,55.96,-47.17
89.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.51,49.85,-47.17
89.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,55.96,-49.58
89.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,55.96,-48.37
90.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.84,52.30,-42.33
90.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.44,52.30,-47.17
90.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,53.52,-43.54
90.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,49.85,-41.13
90.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,44.96,-32.67
90.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,22.31,38.85,-36.30
90.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.62,33.96,-21.80
90.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.08,24.19,-25.42
90.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,16.85,-21.80
90.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,9.52,-15.76
90.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,3.41,-9.72
90.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-0.26,-1.27
90.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-12.48,3.56
90.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-21.03,19.26
90.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-30.81,22.89
90.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-40.59,37.38
90.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-51.59,47.04
90.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.26,-54.03,54.29
90.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-63.81,62.75
90.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-65.03,72.41
90.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.17,-71.14,76.03
90.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-76.03,77.24
90.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-78.47,76.03
90.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-73.59,66.37
90.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-69.92,57.92
91.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-68.70,45.84
91.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-66.25,36.17
91.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-60.14,33.76
91.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-56.48,21.68
91.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-50.36,13.23
91.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,22.31,-43.03,5.98
91.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-41.81,-3.68
91.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-24.70,-10.93
91.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-12.48,-18.18
91.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-6.37,-23.01
91.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-0.26,-26.63
91.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,9.52,-24.22
91.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,15.63,-26.63
91.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,21.74,-25.42
91.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,25.41,-25.42
91.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,35.19,-36.30
91.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,40.07,-37.50
91.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,40.07,-43.54
91.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,48.63,-47.17
91.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,52.30,-47.17
91.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,47.41,-44.75
91.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,48.63,-52.00
91.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,51.07,-52.00
91.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,52.30,-49.58
91.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,51.07,-49.58
92.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,52.30,-45.96
92.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,52.30,-45.96
92.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,52.30,-44.75
92.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,52.30,-35.09
92.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,49.85,-42.33
92.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,46.18,-36.30
92.25,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,37.63,-32.67
92.29,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,31.52,-30.26
92.33,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,20.52,-21.80
92.37,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,13.19,-19.39
92.41,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,4.63,-13.35
92.45,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.90,-0.26,-9.72
92.49,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.51,-12.48,2.36
92.53,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.37,-19.81,10.81
92.57,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-24.70,16.85
92.61,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-39.37,27.72
92.65,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-44.25,39.80
92.69,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.72,-55.25,49.46
92.73,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-57.70,62.75
92.77,0.00,0.00,0.00,29.62,93.0,20.7,44.25,24.18,-66.25,66.37
92.81,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.68,-73.59,73.62
92.85,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-72.36,71.20
92.89,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-76.03,78.45
92.93,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-78.47,67.58
92.97,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-79.70,63.95
93.01,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-74.81,54.29
93.05,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.20,-71.14,47.04
93.09,0.00,0.00,0.00,29.62,93.0,20.7,44.25,27.99,-68.70,36.17
93.13,0.00,0.00,0.00,29.62,93.0,20.7,44.25,25.85,-61.36,25.30
93.17,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.02,-54.03,18.06
93.21,0.00,0.00,0.00,29.62,93.0,20.7,44.25,26.55,-47.92,12.02
