Time (s),Accel_x (m/s2),Accel_y (m/s2),Accel_z (m/s2),RPM,Humidity (percentage),Amb_Temp (C),Water_Temp (C),Motor_Temp (C),noBond_height 1 (mm),Bond_height 2 (mm)
Wave data,50.58,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,94.98,-73.09
Wave data,50.62,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,94.98,-74.29
Wave data,50.66,0.00,0.00,0.00,36.97,95.0,22.5,44.25,27.62,112.09,-74.29
Wave data,50.70,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.34,93.76,-68.25
Wave data,50.74,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.35,94.98,-65.84
Wave data,50.78,0.00,0.00,0.00,36.97,95.0,22.5,44.25,24.18,92.54,-50.14
Wave data,50.82,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-19.90,-61.01
Wave data,50.86,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.51,-26.01,-50.14
Wave data,50.90,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-33.34,-45.31
Wave data,50.94,0.00,0.00,0.00,36.97,95.0,22.5,44.25,27.08,-38.23,-40.47
Wave data,50.98,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-41.90,-40.47
Wave data,51.02,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-50.45,-41.68
Wave data,51.06,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.72,-51.67,-39.27
Wave data,51.10,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.34,-55.34,-41.68
Wave data,51.14,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.68,-57.78,-40.47
Wave data,51.18,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,-60.23,-44.10
Wave data,51.22,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.02,-60.23,-41.68
Wave data,51.26,0.00,0.00,0.00,36.97,95.0,22.5,44.25,26.20,-61.45,-38.06
Wave data,51.30,0.00,0.00,0.00,36.97,95.0,22.5,44.25,25.85,-60.23,86.35
