Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
B,31,103.75,103.73125,1.645753157303327,92.24000000000001,93.10341708542714,2.3432571180134603,0.7567974958172532,0.7602219151162273,0.023080324721681048,0.7581592623931357,0.7581277979996449,0.02357086704437793,2.454369169236534,2.472653331787821,0.06698015757809364
B,32,148.75,148.59924623115577,3.753266178240037,105.94999999999999,105.51522613065326,7.3251980925481694,0.7770562931462963,0.7797431576618129,0.08317811709150999,0.7800982766659823,0.7785759651370907,0.024201966549681007,2.6262362908738197,2.579419286493138,0.12289461331397879
B,33,96.25,96.50883838383838,1.8000240168001296,78.52,78.14497487437185,2.716023510849403,0.8096342712538207,0.7930412730471025,0.081830185622701,0.808325050016758,0.7991066758018955,0.09413110155924465,2.3691971944573122,12.746250673889541,28.579738012840046
B,34,111.25,111.1625,2.356130408638826,88.5,88.94452261306533,3.361273755713704,0.832765818849371,0.8322911214460456,0.023812449951615522,0.8330746337229047,0.8336750208904365,0.023526595906816536,2.0492124207585816,1.6910871685752078,0.45185107018717285
C,15,51.25,50.92964824120603,1.2809601736782925,42.379999999999995,42.80748743718593,1.0960400340108527,0.3711695304457993,0.37122062149646784,0.0028852765644018607,0.37026305112483704,0.3707032780957867,0.002595666585099498,7.156194895591797,7.157545180621524,0.15879960497513998
C,16,51.25,50.778894472361806,1.0463292179051573,53.6,54.1991959798995,1.2007671608306139,0.39346575238421977,0.38946605891711555,0.03963562541092918,0.39325310338292724,0.3935516137895317,0.0028214550724597336,6.515190713101264,6.455349157469909,0.4488955244816252
C,17,46.25,45.97989949748744,1.1226425310286858,57.339999999999996,56.89939698492462,1.337579465473175,0.4209321120689726,0.42129246695774675,0.003453761132005004,0.4212342671538799,0.4209797691789906,0.003421336991958639,5.839139936552883,5.836089389186407,0.12876771071552381
C,18,50.0,50.43125,2.292238584033227,58.58,58.22326633165829,1.2689293524213536,0.4426659111835174,0.4441039619307215,0.06565482478260852,0.44350242234254944,0.4434008171599665,0.0041757878753006916,5.242526611106524,5.341282370280236,0.5604779359959955
C,19,63.75,63.36875,1.5510446917089113,67.31,67.29733668341709,1.3092443044359754,0.4684455104182247,0.468086780944065,0.0037065058579824352,0.46851574212893876,0.46834848889334296,0.0044239628670001965,4.88937557011349,4.9071400290808205,0.09614560077913287
C,20,80.0,80.69723618090453,1.91577183314301,84.76,85.3262311557789,1.6510976963410713,0.49168076151516266,0.4917434321597024,0.004855523046772635,0.4913811225562316,0.4910313676565216,0.004979257452512939,4.5796424288673725,4.599053226639187,0.10283423538805643
C,21,92.5,92.05625,1.8068541855220894,90.99000000000001,91.26125628140704,1.9596062090619581,0.513102587678979,0.508480501122687,0.051741877423756674,0.5126954739052207,0.5126320679303882,0.004180230583815066,4.53779782359673,4.48100175135712,0.2403384146999574
C,22,87.5,87.17361111111111,1.842070660206684,88.5,88.12441340782122,1.8675345963551209,0.5382363072683493,0.5386940503864235,0.0045091483380336915,0.5401253685488494,0.5401882743882217,0.004653751359473748,4.3975844421699,4.402224451938258,0.09497907839356359
C,23,65.0,64.33712121212122,1.7662367276575477,68.55,68.29145728643216,1.8087713858297938,0.5618482560230175,0.5624078077064195,0.005145768873315223,0.5642898095899145,0.5642230612849874,0.00467650748666977,4.032392848395826,4.023084265748313,0.0629017370024641
C,24,70.0,70.46482412060301,1.6391728772266396,69.81,70.16633165829147,1.9799525834932472,0.5912961210974474,0.5850509279830329,0.05981813490652236,0.589488636363638,0.5836197746272579,0.05969067374223039,3.3417516843118302,3.3507673662768966,0.1318340452335863
C,25,110.0,107.00367647058823,12.99951396261688,92.22999999999999,91.9689447236181,2.7776255014349966,0.611782108264894,0.6680578642840379,0.3506762063839333,0.6126326824793543,0.6125897515370842,0.008802959881726857,3.710758823370102,3.7727945580942275,0.6289108346753901
C,26b,100.0,98.86306532663316,5.671713897589944,123.4,123.06829145728643,4.918967422181429,0.6370011007379015,0.6394593818902933,0.10580089766389092,0.6358266889109363,0.629935442481943,0.06574295161045011,3.3104409976921447,3.285720312674188,0.2651373842604909
D,14,53.75,53.4779792746114,1.3284622844608303,42.37,41.69271356783919,4.289755434785243,0.34403038476360165,0.34153773906252016,0.028009453720558682,0.34479911484823117,0.35929318284346057,0.07334166060926696,7.418665360597724,7.745648676837449,3.1198594938625077
D,15,62.5,62.36940298507463,4.576439297291186,57.34,57.19959798994975,1.4774516824367996,0.36708024374128045,0.3624111575122393,0.028991534727406336,0.36791867380000376,0.3635804158211825,0.03059655058308007,7.089575527626649,7.193665254139148,1.0924795514043042
D,18,61.25,57.03409090909091,12.00665612929857,68.55000000000001,68.996783919598,1.6054945770421751,0.44185224460940586,0.5147502654480475,0.1555933677795007,0.44236019999290715,0.44206572568747776,0.004049243219879539,5.276235436644466,4.938950338220407,1.0640508238614959
D,20,96.25,95.65,1.9772576308345524,102.21000000000001,102.25412060301508,1.8887417931361166,0.48982726731246673,0.48514745898132955,0.04937651590895551,0.4889144530433062,0.4893964980633177,0.00517518740142744,4.736564774515719,4.709996457089951,0.2840936582325643
D,22,105.0,105.31875,4.021763774363671,115.91999999999999,115.50075376884422,2.821477321802859,0.5377916982171105,0.5318503847637605,0.05430427093295106,0.5384722019509078,0.5383120523739493,0.0044512593365900405,4.528572445555449,4.481868174965271,0.24286519369151266
D,25,126.25,126.24371859296483,4.00145469018229,107.19,107.85773869346734,4.907728538348624,0.6201536106683461,0.6214403341483198,0.07445364780763947,0.6084456724999351,0.6099903875668996,0.014466303834421344,3.452437023716052,3.446926081471087,0.17141286806679434
E,15,75.0,74.4451219512195,7.472685595524864,67.31,67.78718592964825,2.2143622381672885,0.36623954996483865,0.38579658215193957,0.07996507287991572,0.36486381019277186,0.36516786032783477,0.0027559403978704264,7.03334841628974,8.042503109518353,2.277584585876808
E,18,71.25,56.42667844522968,22.023413240733653,84.76,85.4051256281407,1.9928204111782317,0.6879471656576801,0.735262101156933,0.5041168474633281,0.4386746002748712,0.4382645512514009,0.0029684099468575637,4.569766369575793,21.490621868733136,76.91477616038593
E,19,90.0,90.41457286432161,1.872073795669298,98.47,97.98155778894473,4.072009292996476,0.4649001469698257,0.46273375724909305,0.02350761264330813,0.4654056744649051,0.46255918415496483,0.02369708147502976,4.644971590909137,4.617791887085268,0.2122806683295623
E,20,112.5,112.06875,2.703981976668993,114.67,114.63572864321608,2.251826721255268,0.4868960818616417,0.4869111052246906,0.0048616374398316765,0.4866123035585921,0.4865380590226441,0.004034105303135101,4.703780071983409,4.72997191899856,0.13296369557120385
E,23,100.0,99.71534653465346,7.055398210531212,107.19,107.45829145728644,3.4498234613706855,0.5610010053137973,0.57339267021014,0.10020543172552843,0.5609691564098853,0.5603413853722156,0.011706197920474764,3.7305466092085138,3.7093554186071778,0.34362875822512684
