Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
C,15,51.25,50.92171717171717,1.279299491377076,42.379999999999995,42.80338383838384,1.097284680098607,0.373134328358208,0.37266060672193224,0.0034619616497859862,0.373134328358208,0.37776606131713586,0.05219575195275055,7.188571428571229,7.218276269185342,0.1727489839644152
C,16,51.25,50.778894472361806,1.0463292179051573,53.6,54.1991959798995,1.2007671608306139,0.3968253968253997,0.396858562584369,0.006539213883198754,0.3968253968253997,0.3961033506144393,0.003599545120484002,6.65999999999985,6.636185454545464,0.47581491558867317
C,17,46.25,45.984848484848484,1.1233098877113918,57.339999999999996,56.897171717171716,1.3406006990610289,0.4237288135593196,0.4243486885216868,0.004075690528528832,0.4237288135593196,0.43010033119033697,0.05769024796017492,5.953636363636286,5.90851142708849,0.14384454029505592
C,18,50.0,50.43125,2.292238584033227,58.58,58.22326633165829,1.2689293524213536,0.4464285714285696,0.45443563376866475,0.05169269827677787,0.4464285714285696,0.4474427862585757,0.005022859490383998,5.308695652174123,5.556506868227882,1.273171018794446
C,19,63.75,63.36875,1.5510446917089113,67.31,67.29733668341709,1.3092443044359754,0.4716981132075462,0.47236332849540397,0.004448399202852215,0.4716981132075462,0.4723799436063588,0.005253915571115397,4.902500000000115,4.962544857707496,0.10920091773282269
C,20,80.0,80.69444444444444,1.9202221858656894,84.76,85.31939086294416,1.65808982626301,0.5,0.5029678164972283,0.06429091343832721,0.5,0.5029737755100628,0.06452537443705962,4.625000000000099,4.6243806521739135,0.26661825020843555
C,21,92.5,92.05625,1.8068541855220894,90.99000000000001,91.26125628140704,1.9596062090619581,0.520833333333329,0.5210044771214986,0.01610500794965835,0.520833333333329,0.5193721052250687,0.005275434560225653,4.633043478260828,4.586500988142304,0.3035533124627156
C,22,87.5,87.17361111111111,1.842070660206684,88.5,88.12441340782122,1.8675345963551209,0.5434782608695726,0.5452513105149553,0.005816600325469266,0.5434782608695726,0.551284247553135,0.0573672473556095,4.4399999999999995,4.45850348202522,0.10523253166891765
C,23,65.0,64.33712121212122,1.7662367276575477,68.55,68.29010101010101,1.8132549160998817,0.5681818181818211,0.5714088263418777,0.006772899503776828,0.5681818181818211,0.5788408874547188,0.07469899246187307,4.070000000000066,4.076062670180055,0.06717924209647225
C,24,70.0,70.46482412060301,1.6391728772266396,69.81,70.16633165829147,1.9799525834932472,0.5952380952380928,0.596487318693785,0.008264103622168291,0.5952380952380928,0.5961694880086826,0.0069237084465363155,3.3711111111111176,3.3793266969811797,0.0692320795203909
C,25,110.0,107.00367647058823,12.99951396261688,92.22999999999999,91.96126262626262,2.7825462030848103,0.6249999999999911,0.6799880957072542,0.3735304631188949,0.6249999999999911,0.6286583681131145,0.0948703451987823,3.769675324675357,3.820747460335358,0.6558221018145457
C,26b,100.0,98.86306532663316,5.671713897589944,123.4,123.06829145728643,4.918967422181429,0.6410256410256401,0.6533455133457844,0.08409675554129772,0.6410256410256401,0.6484402694367394,0.03574171989978649,3.3299999999999397,3.3184375142511677,0.24602920432606978
D,14,53.75,53.4765625,1.3317891977627265,42.375,41.69555555555555,4.300441536113165,0.34722222222222276,0.3434427368252437,0.02839740711046862,0.34722222222222276,0.3663756271980112,0.08720738165911678,7.611428571428272,7.853570781573468,3.138547099923112
D,15,62.5,62.35625,4.584113208357225,57.34,57.21151515151515,1.4715769804580163,0.3690036900369109,0.36718208869373764,0.02830791989407339,0.3690036900369109,0.37336465366402727,0.0656646993651607,7.168192771084833,7.402900968367809,1.174583265381648
D,18,61.25,57.03409090909091,12.00665612929857,68.55000000000001,68.996783919598,1.6054945770421751,0.4464285714285696,0.5207824102404062,0.16057539792683573,0.4464285714285696,0.44473369945239277,0.004829042661469002,5.385108695652187,4.999488475916989,1.0882555437851136
D,20,96.25,95.65,1.9772576308345524,102.21000000000001,102.25412060301508,1.8887417931361166,0.4901960784313813,0.49478255404726,0.008145090559667917,0.4901960784313813,0.49434481484901643,0.006266781573887483,4.826086956521507,4.788436750988145,0.15845996174162322
D,22,105.0,105.31875,4.021763774363671,115.91999999999999,115.50075376884422,2.821477321802859,0.5434782608695642,0.5453240633672527,0.0244906519243944,0.5434782608695642,0.5428204337547539,0.005237782981965617,4.540909090909143,4.597813043478284,0.4412797551850744
D,25,126.25,126.24371859296483,4.00145469018229,107.19,107.84222222222222,4.9152729046326975,0.6249999999999911,0.625349845673494,0.07822366662545399,0.6097560975609807,0.6247131246442749,0.07144967295385268,3.4632000000000054,3.45810828061976,0.1739419056697307
E,15,75.0,74.4546568627451,7.489818401312042,67.31,67.78328282828284,2.219288958890641,0.36764705882353343,0.39190416381234494,0.0871454789258216,0.36764705882352955,0.37399712043755245,0.05944864021172772,7.082857142857373,8.149209437304929,2.4508757902869758
E,18,71.25,56.42667844522968,22.023413240733653,84.76,85.4051256281407,1.9928204111782317,0.6944444444444455,0.7775757550805787,0.5902455431445385,0.4425125313283225,0.4425125313283208,0.0039357683868231335,3.330000000000066,5.681403539095027,8.960806988727937
E,19,90.0,90.4040404040404,1.870898923000683,98.47,97.96020202020202,4.071143587650154,0.4716981132075462,0.473014477766726,0.07629896779951224,0.4716981132075462,0.4725483846646006,0.07127980438293718,4.70640000000001,4.65490872590627,0.3349747271327169
E,20,112.5,112.06875,2.703981976668993,114.67,114.63572864321608,2.251826721255268,0.49019607843137447,0.4921946049827769,0.005841233796088129,0.49019607843137447,0.4923717948717949,0.005091197385164581,4.717500000000149,4.788991166007911,0.14109532399720934
E,23,100.0,99.65,7.060132958162663,107.19,107.44707070707071,3.4549257861593103,0.5681818181818211,0.5811576052244708,0.10585502852942522,0.5681818181818211,0.5781305580724179,0.11027665797542797,3.756923076923189,3.7442026921830425,0.35755268384305977
