Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
C,17,46.25,45.97989949748744,1.1226425310286858,57.339999999999996,56.89939698492462,1.337579465473175,0.4237288135593196,0.4243424897720631,0.004055527745782757,0.4237288135593196,0.42434248977206307,0.00405552774578261,5.953636363636286,5.906374138904561,0.14470331477769846
C,18,50.0,50.50879396984924,2.0179711665567384,58.58,58.227777777777774,1.2705449133196944,0.4464285714285696,0.4508413099356239,0.03172617428653393,0.4464285714285696,0.44750880875282795,0.0037485933333656868,5.751818181818215,5.70942458156261,0.38751096837736587
C,19,63.75,63.36875,1.5510446917089113,67.31,67.29733668341709,1.3092443044359754,0.4716981132075462,0.47236332849540397,0.004448399202852215,0.4716981132075462,0.4723799436063588,0.005253915571115397,4.902500000000115,4.962544857707496,0.10920091773282269
C,20,80.0,80.69723618090453,1.91577183314301,84.76,85.3262311557789,1.6510976963410713,0.5,0.4965061409179056,0.006353525278069995,0.5,0.4964116415797088,0.00649824277079405,4.625000000000099,4.647468652173913,0.11065587795158303
C,21,92.5,92.10427135678393,1.6785919865490648,90.99000000000001,91.26125628140704,1.9596062090619581,0.520833333333329,0.519575915472572,0.004650176289793824,0.520833333333329,0.5193721052250688,0.005275434560225373,4.486250000000057,4.518661999999994,0.08906104107464295
C,22,87.5,87.17361111111111,1.842070660206684,88.5,88.12441340782122,1.8675345963551209,0.5434782608695642,0.5452513105149553,0.0058166003254684585,0.5434782608695684,0.5452456002101392,0.0055418425683781795,4.44,4.45850348202524,0.10523253166890385
C,23,65.0,64.33712121212122,1.7662367276575477,68.55,68.29145728643216,1.8087713858297938,0.5681818181818211,0.5714088263418777,0.006772899503776828,0.5681818181818211,0.5714969462062487,0.006303732442747471,4.070000000000066,4.076062670180055,0.06717924209647225
C,24,70.0,70.46482412060301,1.6391728772266396,69.81,70.16633165829147,1.9799525834932472,0.5952380952380928,0.596487318693785,0.008264103622168291,0.5952380952380928,0.5961694880086826,0.0069237084465363155,3.3711111111111176,3.3793266969811797,0.0692320795203909
C,25,110.0,107.00367647058823,12.99951396261688,92.22999999999999,91.9689447236181,2.7776255014349966,0.6249999999999911,0.6799880957072542,0.3735304631188949,0.6249999999999911,0.6192833681131142,0.010151372066043957,3.769675324675357,3.820747460335358,0.6558221018145457
C,26b,100.0,98.9125,5.678396754233757,123.4,123.30010050251256,3.4254016928712168,0.6410256410256401,0.6499045719138955,0.043761758481791056,0.6410256410256401,0.6452351412316109,0.016656602335228563,3.4632000000000054,3.45920504060524,0.29015963906594744
D,14,53.75,53.4779792746114,1.3284622844608303,42.37,41.69271356783919,4.289755434785243,0.34722222222222276,0.3434817005922228,0.02825172315055519,0.34722222222222276,0.3617319684283499,0.07387098301998721,7.611428571428272,7.847507727592849,3.1227287000551947
D,15,62.5,62.36940298507463,4.576439297291186,57.34,57.19959798994975,1.4774516824367996,0.3690036900369109,0.36724102175972256,0.02817225104912435,0.3690036900369109,0.3659644292677476,0.03093745758680287,7.168192771084833,7.403238582542388,1.1687005181644643
D,18,61.25,57.03409090909091,12.00665612929857,68.55000000000001,68.996783919598,1.6054945770421751,0.4464285714285696,0.5207824102404062,0.16057539792683573,0.4464285714285696,0.44473369945239277,0.004829042661469002,5.385108695652187,4.999488475916989,1.0882555437851136
D,20,96.25,95.63442211055276,1.9699019466736547,102.21000000000001,102.25412060301508,1.8887417931361166,0.49019607843137447,0.4942234586142149,0.005233807795694175,0.4901960784313813,0.49434481484901655,0.006266781573887648,4.528800000000046,4.537628769230772,0.0868410393003819
D,22,105.0,105.48366834170854,3.2846900920114743,115.91999999999999,115.50075376884422,2.821477321802859,0.5434782608695642,0.542977181621955,0.006989918358427294,0.5434782608695642,0.5428204337547539,0.005237782981965628,4.173600000000116,4.193390927637586,0.15307592439762854
D,25,126.25,126.24371859296483,4.00145469018229,107.19,107.85773869346734,4.907728538348624,0.6249999999999911,0.625349845673494,0.07822366662545399,0.6097560975609807,0.6175076108598141,0.015403933323748746,3.4632000000000054,3.45810828061976,0.1739419056697307
E,15,75.0,74.4451219512195,7.472685595524864,67.31,67.78718592964825,2.2143622381672885,0.36764705882353343,0.3885387399729064,0.08105396869343678,0.3676470588235257,0.36805820641040327,0.0034646370471851295,7.082857142857373,8.235423029537936,2.4490167332928645
E,18,71.25,56.57801418439716,21.91466048300104,84.76,85.4051256281407,1.9928204111782317,0.6756756756756673,0.8317187005170743,0.695875279566031,0.4425125313283225,0.44251253132832086,0.003935768386823309,4.532499999999981,4.383179146567126,1.933769316264309
E,19,90.0,90.41457286432161,1.872073795669298,98.47,97.98155778894473,4.072009292996476,0.4716981132075462,0.4658266969940396,0.02387165188494233,0.4716981132075462,0.4659866688168576,0.024166351684068735,4.70640000000001,4.679772725906271,0.2274284816469502
E,20,112.5,112.06875,2.703981976668993,114.67,114.63572864321608,2.251826721255268,0.49019607843137447,0.4921946049827769,0.005841233796088129,0.49019607843137447,0.4923717948717949,0.005091197385164581,4.717500000000149,4.788991166007911,0.14109532399720934
E,23,100.0,99.71534653465346,7.055398210531212,107.19,107.45829145728644,3.4498234613706855,0.5681818181818211,0.5810291320854347,0.10533233707845184,0.5681818181818211,0.5672743984539984,0.012054852083344182,3.756923076923189,3.7429509603572497,0.35598277008175483
