
0 mm - 0 Hz_Media_movil_5pts.csv,107.4,1.688,1.6514936708860757,0.5859799674097531,1.709,1.623,0.6032947975624832,1.193293885601576,1.1894770931517715,0.32852110876917723,1.1656793852007488,1.1634265569489453,0.29224631825748915,3.5183281502063553,6.6973627450724535,15.75714010745244
100 mm - 15 Hz_Media_movil_5pts.csv,294.84000000000003,46.138,46.10242201834862,1.3870383280154608,39.843999999999994,39.84822935779817,1.63600196124536,0.37239290706278855,0.37174921436686115,0.004656414551905967,0.3717441326283103,0.37481658114620553,0.02915251074766377,10.690804897719268,10.676113371743627,0.9885487834367548
100 mm - 16 Hz_Media_movil_5pts.csv,290.12,46.62200000000001,46.80051982378855,1.4662386872128343,29.086,28.977289473684213,1.3810311682369854,0.3941320946958107,0.3946120631646666,0.005017041739155849,0.39416950897741526,0.3970731699179604,0.02882708253299772,7.774397115769835,7.762665292057286,0.5522772771585795
100 mm - 17 Hz_Media_movil_5pts.csv,270.52,47.589,47.74605309734513,1.5911841786862622,33.976,34.007955947136566,1.5196549380678896,0.42154632124063024,0.4206131453337864,0.006633148197806311,0.42072820553180307,0.4202817357954929,0.006249897366502518,5.459629063544067,5.450067722428052,0.17986972037852259
100 mm - 18 Hz_Media_movil_5pts.csv,296.40999999999997,50.73,50.73465517241379,1.5990388514806502,nan,nan,nan,0.4459148594355501,0.4454950121815381,0.0060471456441805556,0.4460842557271773,0.4489045879651603,0.03678866216751946,4.853742757821566,4.847633997643901,0.23037890069109823
100 mm - 19 Hz_Media_movil_5pts.csv,252.24,61.355999999999995,61.15706329113924,1.6413477565225678,63.794,63.68581434599157,1.645823053887803,0.47019231601076755,0.4703116443923859,0.004598666739769989,0.4698072585605892,0.47007108399462755,0.004601183405427688,5.318675018423026,5.33085156608589,0.12980573969908307
100 mm - 20 Hz_Media_movil_5pts.csv,240.48000000000002,69.57300000000001,69.71828813559321,1.7501880025540593,73.33,73.39367088607597,1.8797845647491436,0.4932546348766162,0.49342573263983736,0.005035307382673702,0.4936741981161083,0.4934904411506036,0.0050208521786075854,5.031814231920465,5.041559151856331,0.11584157457248095
110 mm - 15 Hz_Media_movil_5pts.csv,315.84,47.59,47.65851724137931,1.513925229802664,42.774,42.68854935622318,1.4282117612027792,0.36977242172914926,0.36974689794078647,0.003489724312054654,0.36989245684272926,0.3698433148821,0.004520557792623192,8.811282375236868,8.838117749689665,0.39249713371728806
110 mm - 20 Hz_Media_movil_5pts.csv,240.52,74.642,74.5762953586498,1.655116227324517,80.906,80.89518987341773,1.7784797217216122,0.49294801753262385,0.49268245520748283,0.00529327883421725,0.49230377814527726,0.49216081377106813,0.004544175782080765,4.961207125764463,4.960360830690727,0.12838978960827535
110 mm - 25 Hz_Media_movil_5pts.csv,192.55999999999997,82.376,82.61478481012658,2.1466580668656743,85.06200000000001,85.10904201680671,2.027749480590007,0.6147832990656048,0.6151137578454448,0.006801778499824169,0.6151840783366204,0.6153840038066217,0.0056464743597662865,3.6286689121896596,3.5983310471008196,0.07288844549776424
110 mm - 30 Hz_Media_movil_5pts.csv,160.96,74.404,74.26969361702128,2.3748921576419364,nan,nan,nan,0.7379553578354198,0.7372426276358468,0.008213090601984118,0.7374300524145813,0.7428037248129077,0.06748967418193846,2.519892493992155,2.5393275537260105,0.05084058668072021
110 mm - 35 Hz_Media_movil_5pts.csv,137.2,118.126,118.1348101265823,3.902893288174821,nan,nan,nan,0.8592477827138689,0.8586243570001945,0.015200033014531551,0.857338392609408,0.8646277219499469,0.047870448144878945,25.84993344493692,36.213311657346004,43.677889342927934
110 mm - 40 Hz_Media_movil_5pts.csv,124.4,129.72,129.67924894514766,4.5023471987323695,138.59199999999998,138.15917829457365,3.8099677378260295,0.9902572664692266,0.9740056744462635,0.09207948491729061,0.9645630101533023,0.7944890021587769,0.3157248326221973,5.534920867394892,5.006416352251374,1.713683133043461
120 mm - 15 Hz_Media_movil_5pts.csv,319.97,52.902,52.83253617021277,1.6636100078748959,47.91,47.997593220338985,1.6854534397769547,0.3694853378607118,0.3699179621126299,0.004044183743812737,0.37033349494389395,0.3742757911377735,0.04144949310111253,8.746269351086779,8.7945704975852,0.49407432613167335
130 mm - 15 Hz_Media_movil_5pts.csv,312.88,55.562,55.6298347826087,1.666094989509521,48.886,48.984268398268405,1.6132539563407746,0.3694430587061473,0.36911250135279045,0.003288388025915361,0.3688838486185527,0.36911835231998935,0.003656890494271512,8.98421134836742,8.985768536173154,0.40536739106286873
130 mm - 20 Hz_Media_movil_5pts.csv,242.56,83.10000000000001,83.12018565400844,1.803430826244123,90.436,90.3467088607595,1.7560932382675343,0.4917684545937287,0.49180602095731113,0.004592626496519436,0.49194408018343205,0.4965269252294328,0.04785701323611418,4.206662018476602,4.194775455909624,0.1678886662226925
130 mm - 25 Hz_Media_movil_5pts.csv,192.99999999999997,92.27799999999999,92.55194936708861,2.311835267165503,97.039,97.07888235294116,2.6614308092350423,0.6137512368625171,0.6137848567152187,0.005556783968619928,0.6139121698437437,0.6141255445803545,0.005216667956154802,3.53580895251333,3.5708657412950577,0.06360405826416829
130 mm - 30 Hz_Media_movil_5pts.csv,161.08,87.929,87.91495726495728,2.1951557919554547,123.928,123.90141772151898,2.2229046309948104,0.7373562312903946,0.7369791741014391,0.015523539110501765,0.7384444323586163,0.7457173861562079,0.09060196953209106,2.5143942793736334,2.489043528304906,0.06408212753799668
