Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,40,103.75,103.7625,8.012229581353845,100.96000000000001,101.10130653266332,6.4910226507098105,1.0,0.991236688030167,0.07579276947708444,1.0,0.9935878035718191,0.0931564345587541,1.6818181818181908,1.6788638626354297,0.09261930530458524
B,17,36.25,36.32575757575758,1.1097483054000379,44.875,44.42949494949495,1.0417238482997766,0.4237288135593196,0.42503630696208144,0.03385230828123957,0.4237288135593196,0.4247450647867965,0.031666169240573645,6.23714285714308,6.293326965140123,0.294073945365509
B,18,38.75,38.58040201005025,1.121334810287996,47.36,47.10838383838384,1.7994918668401287,0.4464285714285696,0.4512096967345898,0.04185601645750538,0.4464285714285696,0.45015036628551336,0.031421947570056695,5.180000000000131,5.193453521739137,0.23269932159332166
B,19,47.5,48.125,1.1767562581118025,51.1,51.095396825396826,1.0802563112868055,0.4716981132075462,0.47623857151176346,0.03702803217325709,0.4716981132075462,0.4766949410907224,0.0402157328218337,5.115652173912967,5.070100646409755,0.2673252819792919
B,19.5,53.75,53.88819095477387,1.0936565226865063,56.09,56.09,1.1919855039489224,0.48076923076923445,0.48873736912812277,0.03804750979143862,0.48076923076923445,0.48882786686567925,0.03801454032475037,4.810000000000066,4.830631521739133,0.23816309649347298
B,20,62.5,62.85175879396985,1.3420677631624083,66.06,66.25515151515151,1.1895930828711778,0.5,0.49707059746975707,0.005128092045252118,0.5,0.5013540971944334,0.043335105352949425,4.625000000000099,4.641753980237162,0.11116935203757324
B,21,75.0,74.92462311557789,1.339228156144593,74.79,74.52313131313132,1.2347096466794691,0.520833333333329,0.5210896619557127,0.004543559620445979,0.520833333333329,0.5258718131207201,0.04805524001283752,4.486736842105221,4.498692199446825,0.09515776362010216
B,22,62.5,62.90829145728643,1.2429372573604567,69.8,69.36282828282829,1.2907209179873194,0.5434782608695642,0.5464975845410628,0.005255967873058297,0.5434782608695684,0.5514794685990341,0.04979110720679477,4.343478260869518,4.329124308300398,0.08493402421024744
B,23,49.99,50.45492462311558,1.383543930426838,58.58,58.35792929292929,1.3509666608887863,0.5681818181818211,0.5759531811857395,0.03945172025262881,0.5681818181818211,0.5763319238900634,0.04321520544950508,4.069999999999957,4.029633000000003,0.18395944907405123
B,24,55.0,55.51767676767677,1.385545635182492,56.09,56.48857868020305,1.6720230963863107,0.5952380952380928,0.6016948630052531,0.0497424551029269,0.5952380952380928,0.6013946899511278,0.045161442105969965,3.453333333333308,3.432569963369967,0.13805721014397407
B,25,83.75,84.0719696969697,1.632143699223395,72.3,72.78228426395938,2.213522993156091,0.6249999999999911,0.6246341463414634,0.03851875868234667,0.6249999999999911,0.6200027360850531,0.012261633566242503,3.5520000000000507,3.5519999999999996,0.14539226728423696
B,26,78.75,79.09722222222223,2.5185262512599293,97.22999999999999,97.14218274111676,3.254172644327338,0.6410256410256401,0.6497553981106612,0.04030943752103526,0.6410256410256401,0.6500230632187575,0.041969915668619934,3.3299999999999397,3.2843274937965283,0.13271912482239212
B,27,78.75,78.38383838383838,1.5244675908908534,73.53999999999999,73.16700507614213,1.4812417794397295,0.6756756756756673,0.6765661338029759,0.05253152875278843,0.6756756756756673,0.6770067515681553,0.05880735815314945,3.2855999999999144,3.240075769230769,0.12006464535599502
B,28,77.5,77.44949494949495,2.418855656667347,90.99000000000001,90.89030456852792,2.011578451353169,0.6944444444444455,0.7005067567567569,0.03521246322540482,0.6944444444444455,0.6957163558907744,0.013792956536540484,3.073846153846089,3.071261846153844,0.0949816934940718
B,29b,96.25,96.16623711340206,1.9004721980629649,132.13,130.6762244897959,12.176481283262977,0.7142857142857258,0.7260439166013894,0.05484501211849925,0.7142857142857258,0.7558506374294869,0.1496051285609956,2.60275862068963,16.585549172229648,28.17253747027353
B,30,103.75,103.54060913705584,2.6327510703611,105.94,105.58212121212121,2.357612262256384,0.7575757575757288,0.7506699496449944,0.03312866606653745,0.7575757575757288,0.7564171122994663,0.09261355154719118,2.9303999999999855,2.9179084919337783,0.10193812217381024
