Crank position,Motor Frequency (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,26,2.21599845824228,2.2130131419175747,0.006838104798700989
A,28,2.212184034305752,2.206499680393593,0.011206568683656833
A,30,2.218732685554244,2.21397034288594,0.01095615412854387
A,32c,2.219650372901791,2.21448993401804,0.02997320111427519
A,34,1.108321394697297,1.1063959870457136,0.004274010926384955
A,36,1.1035998067714303,1.073951168566903,0.07820743819270917
A,38,1.1056060584068907,1.1056323686775058,0.0003624289803858469
A,40,1.1076257538670662,1.1075937599727166,0.0009205616309910635
B,17,2.177608778674543,2.1716691675676083,0.023406725997216608
B,18,2.1904799010677762,2.15250874964081,0.06394630682413899
B,19,2.1975444824627424,2.1872412511433543,0.02059112380180205
B,19.5,2.199358486789431,2.1885045669927714,0.023219938100649172
B,20,2.1917363563490158,2.1785003876577553,0.02696995235117489
B,21,2.2116774146815827,2.2076974178526116,0.008111649678169795
B,22,2.197789879910498,2.1859998427831258,0.02869908387847084
B,23,2.1992430751537855,2.1921059745569047,0.01676153756519219
B,24,2.203601945180268,2.1958024460427,0.015916882340153246
B,25,2.2064078303958463,2.1850410166503362,0.04607589438742829
B,26,2.2103422293882367,2.205597761967349,0.01123210878899827
B,27,2.2073043180306566,2.1925767562438643,0.03733973448383478
B,28,2.214718477877559,2.211586068754152,0.006589363439835186
B,29b,2.214531700740717,2.3801122878170697,1.1576462859870063
B,30,2.2174859843283743,2.2174535853630606,0.00026435454998771456
B,31,2.2182205009419107,2.2180293814887078,0.0010330379858600814
B,32,2.2183634130066747,2.21992431282347,0.045943010668312675
B,33,2.21967627297188,2.2181334108940174,0.05352689131315808
B,34,1.1051742047892756,1.0803881423323232,0.06548948747265441
C,15,1.9218568258787827,1.7780270700204073,0.4661134618510196
C,16,2.2083397003482395,2.201725716972213,0.013430323859433452
C,17,2.182958278990161,2.16189947652291,0.04373536192919026
C,18,2.209073663869357,2.176108088620723,0.07919474466097302
C,19,1.9905478150126439,1.7506146399296523,0.4689248394974444
C,20,2.1960717310800852,2.1801753716205394,0.036136428513010195
C,21,2.2123329333225303,2.206817718037891,0.013300554389538812
C,22,2.212211022212062,2.301781503779583,1.3120227143882202
C,23,2.2055150004567343,2.2004161473645154,0.011037164627705652
C,24,3.46138038855994,3.4567683642793474,0.1708433931232379
