Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
B,23,49.99,50.45492462311558,1.383543930426838,58.58,58.35792929292929,1.3509666608887863,0.5643510715145661,0.5679335649710572,0.03750460157223829,0.5671478830522907,0.571153579856,0.04125187785153115,4.060815670277977,4.047847556518823,0.17464748219153936
B,24,55.0,55.51767676767677,1.385545635182492,56.09,56.48857868020305,1.6720230963863107,0.5916211133455357,0.5946831375583777,0.046327087459487805,0.5887488791353994,0.5923523494553479,0.04258841654507019,3.5084529424950777,3.4892509495844943,0.1353285380568164
B,25,83.75,84.0719696969697,1.632143699223395,72.3,72.78228426395938,2.213522993156091,0.6140494514491648,0.6176764661908104,0.036643576773632704,0.6156760596732163,0.6146492079578586,0.010825508022213402,3.6266657055073743,3.612055650654435,0.14563239537716435
B,26,78.75,79.09722222222223,2.5185262512599293,97.22999999999999,97.14218274111676,3.254172644327338,0.637624974495001,0.6409752152914868,0.04063715020203755,0.6365307372864022,0.6405545692212689,0.040131646996848284,3.3479472228308977,3.331973322284312,0.13152753905862363
B,27,78.75,78.38383838383838,1.5244675908908534,73.53999999999999,73.16700507614213,1.4812417794397295,0.662989286093144,0.6683090171526223,0.05238300808086498,0.6637545280204392,0.6689251673575032,0.053672909287197264,3.277628812592657,3.2750302382387657,0.11617351481280634
B,28,77.5,77.44949494949495,2.418855656667347,90.99000000000001,90.89030456852792,2.011578451353169,0.6864683361576593,0.6898277752561768,0.03288156192330771,0.6866785601665741,0.6854524809383487,0.012619992332840273,3.1182478324117424,3.1100434120593534,0.09550001769939984
B,29b,96.25,96.16623711340206,1.9004721980629649,132.13,130.6762244897959,12.176481283262977,0.7098441182316484,0.7155720830401926,0.05411646559750637,0.7071438430352384,0.7437302423056759,0.14506607084561932,2.64285110015541,117.35362367652937,1068.1947891408706
B,30,103.75,103.54060913705584,2.6327510703611,105.94,105.58212121212121,2.357612262256384,0.7407351540513579,0.7355049614207065,0.03331004383923781,0.7360766229159172,0.7436035312126764,0.08738558511748955,2.9750150788541974,1.402957318614255,15.590577008174778
B,31,103.75,103.73115577889448,1.6499033246408348,92.24000000000001,93.11223350253807,2.3501687056886738,0.757866656197663,0.7658281607076176,0.05934185243544008,0.7581592623931357,0.7564513622520727,0.029451843731035963,2.511626213129542,2.511185168095844,0.07081777605490826
B,32,148.75,148.59924623115577,3.753266178240037,105.94999999999999,105.53823232323232,7.336555257908915,0.7770562931462963,0.7797431576618129,0.08317811709150999,0.7815958036120987,0.7846412510992751,0.06395829861691936,2.645052291928505,2.629482130804727,0.1293426757970961
B,33,96.25,96.50883838383838,1.8000240168001296,78.52,78.10525252525252,2.6643273618752703,0.8096342712538207,0.7930412730471025,0.081830185622701,0.8088561785493809,0.8091770951828224,0.05184395429410385,2.364015210646659,-95.71506715255995,1623.0084770551848
B,34,111.25,111.19346733668341,2.320910117915571,88.5,88.98065989847716,3.358401750448311,0.8327658188493834,0.8377083678686411,0.05740712996460739,0.8330746337229047,0.8310612256794572,0.035474147158958816,2.1011319212827466,1.727421162922138,0.46478818081799217
C,15,51.25,50.94065656565657,1.2747353953486358,42.379999999999995,42.81595959595959,1.092266231832637,0.3711695304457993,0.3745515673744847,0.03380044013295537,0.3702989106236446,0.3732585758202208,0.02563658458347283,7.2910363420189785,7.249664045833167,0.2741966375173223
C,16,51.25,50.77020202020202,1.0417531882233733,53.6,54.202222222222225,1.2030498937339682,0.3938744643307276,0.3971112332266248,0.036981510037399606,0.3936088960026902,0.3966236762450128,0.03049448450006877,6.624173390880041,6.59878108664328,0.2526937108432498
C,17,46.25,45.99116161616162,1.1141613422616439,57.339999999999996,56.90348484848485,1.339723237299831,0.42108814944959483,0.4251439750870261,0.0378743747909733,0.4212342671538799,0.42415417591484394,0.032633399912940966,5.964711321258745,5.937415418286654,0.24605459560583962
